"","date_time","minute_hour","hour","interval","date","count","day","date_abbrev"
"164","08/22/2023, 13:00-14","13:00-14",13,"00-14","08/22/2023",107,"Tuesday","08.22"
"165","08/22/2023, 13:15-29","13:15-29",13,"15-29","08/22/2023",38,"Tuesday","08.22"
"166","08/22/2023, 13:15-29","13:15-29",13,"15-29","08/22/2023",2,"Tuesday","08.22"
"167","08/22/2023, 13:15-29","13:15-29",13,"15-29","08/22/2023",4,"Tuesday","08.22"
"168","08/22/2023, 13:15-29","13:15-29",13,"15-29","08/22/2023",74,"Tuesday","08.22"
"169","08/22/2023, 13:30-44","13:30-44",13,"30-44","08/22/2023",19,"Tuesday","08.22"
"170","08/22/2023, 13:30-44","13:30-44",13,"30-44","08/22/2023",2,"Tuesday","08.22"
"171","08/22/2023, 13:30-44","13:30-44",13,"30-44","08/22/2023",1,"Tuesday","08.22"
"172","08/22/2023, 13:30-44","13:30-44",13,"30-44","08/22/2023",48,"Tuesday","08.22"
"173","08/22/2023, 13:45-59","13:45-59",13,"45-59","08/22/2023",17,"Tuesday","08.22"
"174","08/22/2023, 13:45-59","13:45-59",13,"45-59","08/22/2023",1,"Tuesday","08.22"
"175","08/22/2023, 13:45-59","13:45-59",13,"45-59","08/22/2023",1,"Tuesday","08.22"
"176","08/22/2023, 13:45-59","13:45-59",13,"45-59","08/22/2023",20,"Tuesday","08.22"
"177","08/22/2023, 14:00-14","14:00-14",14,"00-14","08/22/2023",7,"Tuesday","08.22"
"178","08/22/2023, 14:00-14","14:00-14",14,"00-14","08/22/2023",3,"Tuesday","08.22"
"179","08/22/2023, 14:00-14","14:00-14",14,"00-14","08/22/2023",24,"Tuesday","08.22"
"180","08/22/2023, 14:15-29","14:15-29",14,"15-29","08/22/2023",17,"Tuesday","08.22"
"181","08/22/2023, 14:15-29","14:15-29",14,"15-29","08/22/2023",4,"Tuesday","08.22"
"182","08/22/2023, 14:15-29","14:15-29",14,"15-29","08/22/2023",30,"Tuesday","08.22"
"183","08/22/2023, 14:30-44","14:30-44",14,"30-44","08/22/2023",14,"Tuesday","08.22"
"184","08/22/2023, 14:30-44","14:30-44",14,"30-44","08/22/2023",1,"Tuesday","08.22"
"185","08/22/2023, 14:30-44","14:30-44",14,"30-44","08/22/2023",22,"Tuesday","08.22"
"186","08/22/2023, 14:45-59","14:45-59",14,"45-59","08/22/2023",7,"Tuesday","08.22"
"187","08/22/2023, 14:45-59","14:45-59",14,"45-59","08/22/2023",1,"Tuesday","08.22"
"188","08/22/2023, 14:45-59","14:45-59",14,"45-59","08/22/2023",1,"Tuesday","08.22"
"189","08/22/2023, 14:45-59","14:45-59",14,"45-59","08/22/2023",23,"Tuesday","08.22"
"190","08/22/2023, 15:00-14","15:00-14",15,"00-14","08/22/2023",3,"Tuesday","08.22"
"191","08/22/2023, 15:00-14","15:00-14",15,"00-14","08/22/2023",4,"Tuesday","08.22"
"192","08/23/2023, 8:00-14","8:00-14",8,"00-14","08/23/2023",2,"Wednesday","08.23"
"193","08/23/2023, 8:00-14","8:00-14",8,"00-14","08/23/2023",3,"Wednesday","08.23"
"194","08/23/2023, 8:00-14","8:00-14",8,"00-14","08/23/2023",8,"Wednesday","08.23"
"195","08/23/2023, 8:15-29","8:15-29",8,"15-29","08/23/2023",4,"Wednesday","08.23"
"196","08/23/2023, 8:15-29","8:15-29",8,"15-29","08/23/2023",1,"Wednesday","08.23"
"197","08/23/2023, 8:15-29","8:15-29",8,"15-29","08/23/2023",17,"Wednesday","08.23"
"198","08/23/2023, 8:30-44","8:30-44",8,"30-44","08/23/2023",2,"Wednesday","08.23"
"199","08/23/2023, 8:30-44","8:30-44",8,"30-44","08/23/2023",8,"Wednesday","08.23"
"200","08/23/2023, 8:45-59","8:45-59",8,"45-59","08/23/2023",15,"Wednesday","08.23"
"201","08/23/2023, 8:45-59","8:45-59",8,"45-59","08/23/2023",4,"Wednesday","08.23"
"202","08/23/2023, 9:00-14","9:00-14",9,"00-14","08/23/2023",9,"Wednesday","08.23"
"203","08/23/2023, 9:00-14","9:00-14",9,"00-14","08/23/2023",5,"Wednesday","08.23"
"204","08/23/2023, 9:00-14","9:00-14",9,"00-14","08/23/2023",7,"Wednesday","08.23"
"205","08/23/2023, 9:15-29","9:15-29",9,"15-29","08/23/2023",5,"Wednesday","08.23"
"206","08/23/2023, 9:15-29","9:15-29",9,"15-29","08/23/2023",1,"Wednesday","08.23"
"207","08/23/2023, 9:15-29","9:15-29",9,"15-29","08/23/2023",1,"Wednesday","08.23"
"208","08/23/2023, 9:15-29","9:15-29",9,"15-29","08/23/2023",8,"Wednesday","08.23"
"209","08/23/2023, 9:30-44","9:30-44",9,"30-44","08/23/2023",2,"Wednesday","08.23"
"210","08/23/2023, 9:30-44","9:30-44",9,"30-44","08/23/2023",2,"Wednesday","08.23"
"211","08/23/2023, 9:30-44","9:30-44",9,"30-44","08/23/2023",20,"Wednesday","08.23"
"212","08/23/2023, 9:45-59","9:45-59",9,"45-59","08/23/2023",11,"Wednesday","08.23"
"213","08/23/2023, 9:45-59","9:45-59",9,"45-59","08/23/2023",1,"Wednesday","08.23"
"214","08/23/2023, 9:45-59","9:45-59",9,"45-59","08/23/2023",21,"Wednesday","08.23"
"215","08/23/2023, 10:00-14","10:00-14",10,"00-14","08/23/2023",15,"Wednesday","08.23"
"216","08/23/2023, 10:00-14","10:00-14",10,"00-14","08/23/2023",40,"Wednesday","08.23"
"217","08/23/2023, 10:15-29","10:15-29",10,"15-29","08/23/2023",7,"Wednesday","08.23"
"218","08/23/2023, 10:15-29","10:15-29",10,"15-29","08/23/2023",21,"Wednesday","08.23"
"219","08/23/2023, 10:30-44","10:30-44",10,"30-44","08/23/2023",3,"Wednesday","08.23"
"220","08/23/2023, 10:30-44","10:30-44",10,"30-44","08/23/2023",11,"Wednesday","08.23"
"221","08/23/2023, 10:45-59","10:45-59",10,"45-59","08/23/2023",6,"Wednesday","08.23"
"222","08/23/2023, 10:45-59","10:45-59",10,"45-59","08/23/2023",13,"Wednesday","08.23"
"223","08/23/2023, 11:00-14","11:00-14",11,"00-14","08/23/2023",42,"Wednesday","08.23"
"224","08/23/2023, 11:00-14","11:00-14",11,"00-14","08/23/2023",1,"Wednesday","08.23"
"225","08/23/2023, 11:00-14","11:00-14",11,"00-14","08/23/2023",2,"Wednesday","08.23"
"226","08/23/2023, 11:00-14","11:00-14",11,"00-14","08/23/2023",92,"Wednesday","08.23"
"227","08/23/2023, 11:15-29","11:15-29",11,"15-29","08/23/2023",38,"Wednesday","08.23"
"228","08/23/2023, 11:15-29","11:15-29",11,"15-29","08/23/2023",2,"Wednesday","08.23"
"229","08/23/2023, 11:15-29","11:15-29",11,"15-29","08/23/2023",83,"Wednesday","08.23"
"230","08/23/2023, 11:30-44","11:30-44",11,"30-44","08/23/2023",2,"Wednesday","08.23"
"231","08/23/2023, 11:30-44","11:30-44",11,"30-44","08/23/2023",49,"Wednesday","08.23"
"232","08/23/2023, 11:30-44","11:30-44",11,"30-44","08/23/2023",7,"Wednesday","08.23"
"233","08/23/2023, 11:30-44","11:30-44",11,"30-44","08/23/2023",94,"Wednesday","08.23"
"234","08/23/2023, 11:45-59","11:45-59",11,"45-59","08/23/2023",46,"Wednesday","08.23"
"235","08/23/2023, 11:45-59","11:45-59",11,"45-59","08/23/2023",1,"Wednesday","08.23"
"236","08/23/2023, 11:45-59","11:45-59",11,"45-59","08/23/2023",12,"Wednesday","08.23"
"237","08/23/2023, 11:45-59","11:45-59",11,"45-59","08/23/2023",69,"Wednesday","08.23"
"238","08/23/2023, 12:00-14","12:00-14",12,"00-14","08/23/2023",50,"Wednesday","08.23"
"239","08/23/2023, 12:00-14","12:00-14",12,"00-14","08/23/2023",1,"Wednesday","08.23"
"240","08/23/2023, 12:00-14","12:00-14",12,"00-14","08/23/2023",9,"Wednesday","08.23"
"241","08/23/2023, 12:00-14","12:00-14",12,"00-14","08/23/2023",67,"Wednesday","08.23"
"242","08/23/2023, 12:15-29","12:15-29",12,"15-29","08/23/2023",53,"Wednesday","08.23"
"243","08/23/2023, 12:15-29","12:15-29",12,"15-29","08/23/2023",4,"Wednesday","08.23"
"244","08/23/2023, 12:15-29","12:15-29",12,"15-29","08/23/2023",126,"Wednesday","08.23"
"245","08/23/2023, 12:30-44","12:30-44",12,"30-44","08/23/2023",60,"Wednesday","08.23"
"246","08/23/2023, 12:30-44","12:30-44",12,"30-44","08/23/2023",4,"Wednesday","08.23"
"247","08/23/2023, 12:30-44","12:30-44",12,"30-44","08/23/2023",103,"Wednesday","08.23"
"248","08/23/2023, 12:45-59","12:45-59",12,"45-59","08/23/2023",57,"Wednesday","08.23"
"249","08/23/2023, 12:45-59","12:45-59",12,"45-59","08/23/2023",1,"Wednesday","08.23"
"250","08/23/2023, 12:45-59","12:45-59",12,"45-59","08/23/2023",5,"Wednesday","08.23"
"251","08/23/2023, 12:45-59","12:45-59",12,"45-59","08/23/2023",66,"Wednesday","08.23"
"252","08/23/2023, 13:00-14","13:00-14",13,"00-14","08/23/2023",71,"Wednesday","08.23"
"253","08/23/2023, 13:00-14","13:00-14",13,"00-14","08/23/2023",4,"Wednesday","08.23"
"254","08/23/2023, 13:00-14","13:00-14",13,"00-14","08/23/2023",4,"Wednesday","08.23"
"255","08/23/2023, 13:00-14","13:00-14",13,"00-14","08/23/2023",81,"Wednesday","08.23"
"256","08/23/2023, 13:15-29","13:15-29",13,"15-29","08/23/2023",40,"Wednesday","08.23"
"257","08/23/2023, 13:15-29","13:15-29",13,"15-29","08/23/2023",1,"Wednesday","08.23"
"258","08/23/2023, 13:15-29","13:15-29",13,"15-29","08/23/2023",2,"Wednesday","08.23"
"259","08/23/2023, 13:15-29","13:15-29",13,"15-29","08/23/2023",84,"Wednesday","08.23"
"260","08/23/2023, 13:30-44","13:30-44",13,"30-44","08/23/2023",36,"Wednesday","08.23"
"261","08/23/2023, 13:30-44","13:30-44",13,"30-44","08/23/2023",11,"Wednesday","08.23"
"262","08/23/2023, 13:30-44","13:30-44",13,"30-44","08/23/2023",78,"Wednesday","08.23"
"263","08/23/2023, 13:45-59","13:45-59",13,"45-59","08/23/2023",27,"Wednesday","08.23"
"264","08/23/2023, 13:45-59","13:45-59",13,"45-59","08/23/2023",2,"Wednesday","08.23"
"265","08/23/2023, 13:45-59","13:45-59",13,"45-59","08/23/2023",2,"Wednesday","08.23"
"266","08/23/2023, 13:45-59","13:45-59",13,"45-59","08/23/2023",28,"Wednesday","08.23"
"267","08/23/2023, 14:00-14","14:00-14",14,"00-14","08/23/2023",13,"Wednesday","08.23"
"268","08/23/2023, 14:00-14","14:00-14",14,"00-14","08/23/2023",1,"Wednesday","08.23"
"269","08/23/2023, 14:00-14","14:00-14",14,"00-14","08/23/2023",21,"Wednesday","08.23"
"270","08/23/2023, 14:15-29","14:15-29",14,"15-29","08/23/2023",28,"Wednesday","08.23"
"271","08/23/2023, 14:15-29","14:15-29",14,"15-29","08/23/2023",3,"Wednesday","08.23"
"272","08/23/2023, 14:15-29","14:15-29",14,"15-29","08/23/2023",39,"Wednesday","08.23"
"273","08/23/2023, 14:30-44","14:30-44",14,"30-44","08/23/2023",18,"Wednesday","08.23"
"274","08/23/2023, 14:30-44","14:30-44",14,"30-44","08/23/2023",1,"Wednesday","08.23"
"275","08/23/2023, 14:30-44","14:30-44",14,"30-44","08/23/2023",1,"Wednesday","08.23"
"276","08/23/2023, 14:30-44","14:30-44",14,"30-44","08/23/2023",45,"Wednesday","08.23"
