station,recipe,ingredient,listed_quantity,volume_weight_conversion,conversion_source,conversion_item,weight_oz,matched_ingredient
Grill,"[CYO Grill Component] Toppings, Sauteed Onions","Canola Oil [Sauteed Onions, Assorted Burger Toppings]",1/8 Teaspoon,yes,USDA Nutrient Database for Standard Reference,Canola and Soybean Oil,0.02,Sunflower Oil (CAN)
Grill,"[CYO Grill Component] Toppings, Sauteed Onions","Kosher Salt [Sauteed Onions, Assorted Burger Toppings]",Dash (To Taste),,,,,
Grill,"[CYO Grill Component] Toppings, Sauteed Onions","Black Pepper [Sauteed Onions, Assorted Burger Toppings]",Dash (To Taste),,,,,
Grill,"[CYO Grill Component] Toppings, Sauteed Mushrooms","Canola Oil [Sauteed Mushrooms, Assorted Burger Toppings]",1/8 Teaspoon,yes,USDA Nutrient Database for Standard Reference,Canola and Soybean Oil,0.02,Sunflower Oil (CAN)
Grill,"[CYO Grill Component] Toppings, Sauteed Mushrooms","Sliced Mushroom [Sauteed Mushrooms, Assorted Burger Toppings]",1.5 Oz,no,,,1.5,Mushroom
Grill,"[CYO Grill Component] Toppings, Sauteed Mushrooms","Kosher Salt [Sauteed Mushrooms, Assorted Burger Toppings]",Dash (To Taste),,,,,
Grill,"[CYO Grill Component] Toppings, Sauteed Mushrooms","Black Pepper [Sauteed Mushrooms, Assorted Burger Toppings]",Dash (To Taste),,,,,
Grill,"[CYO Grill Component] Toppings, Lettuce",Green Leaf Lettuce [Assorted Burger Toppings],0.5 Fillet,yes,Nutritionix,"Green Leaf Lettuce (1 cup, shredded)",1.27,Lettuce
Grill,"[CYO Grill Component] Toppings, Tomato",Sliced Tomato [Assorted Burger Toppings] ,1 Slice,yes,Nutritionix,"Tomato - 1 slice, medium (1/4"" thick) from USDA",0.705,Tomato
Grill,"[CYO Grill Component] Toppings, Red Onion",Sliced Red Onion [Assorted Burger Toppings],0.5 Rings,yes,Nutritionix,Red Onion (0.1 medium),0.332,Onion
Grill,"[CYO Grill Component] Toppings, Kosher Dill Pickle",Sliced Kosher Dill Pickle [Assorted Burger Toppings],4 Slice,,,,,
Grill,"[CYO Grill Component] Toppings, American Cheese",Sliced White American Cheese [Assorted Burger Toppings],1 Slice,yes,Nutritionix,American Cheese - 1 Slice from USDA,1,Cheddar
Grill,"[CYO Grill Component] Toppings, Cheddar Cheese",Sliced White Cheddar Cheese [Assorted Burger Toppings],1 Slice,yes,University of Rochester Medical Center,"Cheese, cheddar (1 slice)",1,Cheddar
Grill,"[CYO Grill Component] Toppings, Pepper Jack Cheese",Sliced Pepper Jack Cheese [Assorted Burger Toppings],1 Slice,no,Nutritionix,1 Slice Pepper Jack Cheese,1,Cheddar
Grill,"[CYO Grill Component] Toppings, Provolone Cheese",Sliced Provolone Cheese [Assorted Burger Toppings],1 Slice,no,University of Rochester Medical Center,"Cheese, provolone (1 slcie)",1,Cheddar
Grill,"[CYO Grill Component] Toppings, Blue Cheese",Crumbled Blue Cheese [Assorted Burger Toppings],3/4 Teaspoon,yes,USDA Nutrient Database for Standard Reference,"Cheese, Blue or Roquefort",0.138,Mozzarella
Grill,"[CYO Grill Component] Toppings, Vegan Cheese",Daiya Vegan Sliced Cheddar [Assorted Burger Toppings] ,1 Slice,yes,Daiya Foods,Dairy-Free Cheddar Slices,0.776,Daiya Cheddar Slices
Grill,[CYO Grill Component] Chicken Tenders,Breaded Chicken Tender,8 Oz,no,,,8,Chicken
Grill,[CYO Grill Component] Chicken Tenders,Canola Oil,1 1/4 Oz,no,,,1.25,Sunflower Oil (CAN)
Grill,[CYO Grill Component] Fries,Seasoned Coated French Fries,4 Oz,no,,,4,Potato Fries
Grill,[CYO Grill Component] Fries,Canola Oil,,,,,,
Grill,[CYO Grill Component] Fries,Kosher Salt,,,,,,
Grill,[CYO Grill Component] Sweet Potato Fries,Sweet Potato Fries,4 Oz,no,,,4,Sweet Potato Fries
Grill,[CYO Grill Component] Sweet Potato Fries,Canola Oil,,,,,,
Grill,[CYO Grill Component] Sweet Potato Fries,Kosher Salt,,,,,,
Grill,[CYO Grill Component] Black Bean Burger,Ithaca Bakery Large Roll [Butter Grilled Roll],1 Roll,yes,"FDA, Title 21, Volume 2; USDA Nutrient Database for Standard Reference",Amish Roll Butter,1.764,Wheat Bread
Grill,[CYO Grill Component] Black Bean Burger,Salted Butter [Butter Grilled Roll],5/8 Teaspoon,yes,USDA Nutrient Database for Standard Reference,"Butter, salted",0.104,Butter
Grill,[CYO Grill Component] Black Bean Burger,Gardein Black Bean Burger,1 Burger,yes,Garden Plant-Based Protein,Ultimate Black Bean Burger,4,Beans
Grill,[CYO Grill Component] Black Bean Burger,Vegalene Canola Pan Spray,1 Second Spray,yes,Seattle Times,1/5 Teaspoon,0.03,Sunflower Oil (CAN)
Grill,[CYO Grill Component] Black Bean Burger,Grean Leaf Lettuce,1 Leaf,yes,Nutritionix,"Green Leaf Lettuce (1 cup, shredded)",1.27,Lettuce
Grill,[CYO Grill Component] Black Bean Burger,Sliced Tomato ,2 Slice,yes,Nutritionix,"Tomato - 2 slices, medium (1/4"" thick) from USDA",1.41,Tomato
Grill,[CYO Grill Component] Black Bean Burger,Sliced Red Onion,1 Oz,no,,,1,Onion
Grill,[CYO Grill Component] Black Bean Burger,Sliced Kosher Dill Pickle,,,,,,
Ramen,[CYO Ramen Component] Chicken Bowl,Japanese Ramen Noodles [Ramen Noodles],4 Oz,no,,,4,Wheat Noodles
Ramen,[CYO Ramen Component] Chicken Bowl,Water [Ramen Noodles],,,,,,
Ramen,[CYO Ramen Component] Chicken Bowl,Fresh Peeled Garlic Gloves [Chicken Ramen Broth Trillium],1 Tablespoon + 1 3/4 Teaspoon,yes,USDA Nutrient Database for Standard Reference,Chopped Garlic,0.529,Onion
Ramen,[CYO Ramen Component] Chicken Bowl,Ginger Root [Chicken Ramen Broth Trillium],,,,,,
Ramen,[CYO Ramen Component] Chicken Bowl,Gluten Free Tamari Soy Sauce [Chicken Ramen Broth Trillium],,,,,,
Ramen,[CYO Ramen Component] Chicken Bowl,Canola Oil [Chicken Ramen Broth Trillium],1 Teaspoon,yes,USDA Nutrient Database for Standard Reference,Canola and Soybean Oil,0.16,Sunflower Oil (CAN)
Ramen,[CYO Ramen Component] Chicken Bowl,Water [Chicken Ramen Broth Trillium],,,,,,
Ramen,[CYO Ramen Component] Chicken Bowl,Gluten Free Chicken Soup Base [Chicken Ramen Broth Trillium],,,,,,
Ramen,[CYO Ramen Component] Chicken Bowl,Chicken Thigh Meat Diced Fresh [Marinated Teriyaki Chicken for Ramen],3 1/2 Oz,no,,,3.5,Chicken
Ramen,[CYO Ramen Component] Chicken Bowl,"Gluten Free Tamari Soy Sauce [Teriyaki Marinade for Chicken Bowl, Chicken Marinated Teriyaki for Ramen]",,,,,,
Ramen,[CYO Ramen Component] Chicken Bowl,"Apple Cider Vinegar [Teriyaki Marinade for Chicken Bowl, Chicken Marinated Teriyaki for Ramen]",,,,,,
Ramen,[CYO Ramen Component] Chicken Bowl,"Pineapple Juice [Teriyaki Marinade for Chicken Bowl, Chicken Marinated Teriyaki for Ramen]",,,,,,
Ramen,[CYO Ramen Component] Chicken Bowl,"Ground Ginger [Teriyaki Marinade for Chicken Bowl, Chicken Marinated Teriyaki for Ramen]",,,,,,
Ramen,[CYO Ramen Component] Chicken Bowl,"Granulated Garlic [Teriyaki Marinade for Chicken Bowl, Chicken Marinated Teriyaki for Ramen]",,,,,,
Ramen,[CYO Ramen Component] Chicken Bowl,"Granulated Onion [Teriyaki Marinade for Chicken Bowl, Chicken Marinated Teriyaki for Ramen]",,,,,,
Ramen,[CYO Ramen Component] Chicken Bowl,"Brown Sugar [Teriyaki Marinade for Chicken Bowl, Chicken Marinated Teriyaki for Ramen]",,,,,,
Ramen,[CYO Ramen Component] Chicken Bowl,"Water [Teriyaki Marinade for Chicken Bowl, Chicken Marinated Teriyaki for Ramen]",,,,,,
Ramen,[CYO Ramen Component] Ginger Tare,Lemon Grass [Spice Blend Tare Vegetarian],,,,,,
Ramen,[CYO Ramen Component] Ginger Tare,Fresh Peeled Garlic Cloves [Spice Blend Tare Vegetarian],1/4 Teaspoon,yes,USDA Nutrient Database for Standard Reference,Chopped Garlic,0.044,Onion
Ramen,[CYO Ramen Component] Ginger Tare,Ginger Root [Spice Blend Tare Vegetarian],,,,,,
Ramen,[CYO Ramen Component] Ginger Tare,Whole Peeled Onion [Spice Blend Tare Vegetarian],1 Teaspoon,yes,USDA Nutrient Database for Standard Reference,"Onions, raw (chopped)",0.118,Onion
Ramen,[CYO Ramen Component] Ginger Tare,Green Onion [Spice Blend Tare Vegetarian],7/8 Teaspoon,yes,USDA Nutrient Database for Standard Reference,"Onions, spring or scallions (includes tops and buulb), raw (chopped)",0.064,Onion
Ramen,[CYO Ramen Component] Ginger Tare,Fresh Jumbo Carrot [Spice Blend Tare Vegetarian],,,,,,
Ramen,[CYO Ramen Component] Ginger Tare,Mirin Wine [Spice Blend Tare Vegetarian],,,,,,
Ramen,[CYO Ramen Component] Ginger Tare,Gluten Free Tamri Soy Sauce [Spice Blend Tare Vegetarian],,,,,,
Ramen,[CYO Ramen Component] Ginger Tare,Granulated Sugar [Spice Blend Tare Vegetarian],,,,,,
Ramen,[CYO Ramen Component] Ginger Tare,Star Anise [Spice Blend Tare Vegetarian],,,,,,
Ramen,[CYO Ramen Component] Ginger Tare,Sake Wine Sho Chiko [Spice Blend Tare Vegetarian],,,,,,
Ramen,[CYO Ramen Component] Ginger Tare,Water [Spice Blend Tare Vegetarian],,,,,,
Ramen,[CYO Ramen Component] Chicken Bowl,Green Onion,1 Tablespoon,yes,USDA Nutrient Database for Standard Reference,"Onions, spring or scallions (includes tops and buulb), raw (chopped)",0.22,Onion
Ramen,[CYO Ramen Component] Chicken Bowl,Frozen Kernel Corn,1 Tablespoon,yes,USDA Nutrient Database for Standard Reference,"Corn, sweet, white, frozen, kernels cut off cob, unprepared",0.364,Sweet Corn
Ramen,[CYO Ramen Component] Chicken Bowl,Napa Cabbage [Cabbage Sesame Salad],2 Tablespoon + 2 1/2 Teaspoon,yes,USDA Nutrient Database for Standard Reference,Original Napa Cabbage,2.028,Cabbage
Ramen,[CYO Ramen Component] Chicken Bowl,Fresh Red Cabbage [Cabbage Sesame Salad],1 1/2 Teaspoon,yes,USDA Nutrient Database for Standard Reference,Red cabbage,0.143,Cabbage
Ramen,[CYO Ramen Component] Chicken Bowl,Carrot Shredded [Cabbage Sesame Salad],5/8 Teaspoon,yes,USDA Nutrient Database for Standard Reference,Shredded Carrots,0.02,Carrot
Ramen,[CYO Ramen Component] Chicken Bowl,"Gluten Free Tamar Soy Sauce [Dressing Asian Sesame Gf, Cabbage Sesame Salad]",,,,,,
Ramen,[CYO Ramen Component] Chicken Bowl,"Seasoned Rice Vinegar [Dressing Asian Sesame Gf, Cabbage Sesame Salad]",,,,,,
Ramen,[CYO Ramen Component] Chicken Bowl,"Fresh Peeled Garlic Cloves [Dressing Asian Sesame Gf, Cabbage Sesame Salad]",,,,,,
Ramen,[CYO Ramen Component] Chicken Bowl,"Honey [Dressing Asian Sesame Gf, Cabbage Sesame Salad]",,,,,,
Ramen,[CYO Ramen Component] Chicken Bowl,"Dijon Mustard [Dressing Asian Sesame Gf, Cabbage Sesame Salad]",,,,,,
Ramen,[CYO Ramen Component] Chicken Bowl,"Ginger Root [Dressing Asian Sesame Gf, Cabbage Sesame Salad]",,,,,,
Ramen,[CYO Ramen Component] Chicken Bowl,"Sesame Oil [Dressing Asian Sesame Gf, Cabbage Sesame Salad]",1/2 Teaspoon,yes,USDA Nutrient Database for Standard Reference,Pure Sesame Oil,0.082,Rapeseed Oil
Ramen,[CYO Ramen Component] Chicken Bowl,"Canola Oil [Dressing Asian Sesame Gf, Cabbage Sesame Salad]",2 7/8 Teaspoon,yes,USDA Nutrient Database for Standard Reference,Canola and Soybean Oil,0.461,Sunflower Oil (CAN)
Ramen,[CYO Ramen Component] Chicken Bowl,Egg Whole Fresh Medium Flat [Egg Sous Vide],1 Egg,yes,USDA Nutrient Database for Standard Reference,Medium (M) Egg,1.764,Eggs
Ramen,[CYO Ramen Component] Chicken Bowl,Water [Egg Sous Vide],,,,,,
Ramen,[CYO Ramen Component] Chicken Bowl,Nori Seaweed Sheet,,,,,,
Ramen,[CYO Ramen Component] Tofu Bowl,Ramen Noodle [Tokyo Ramen Noodle],5 Oz,no,,,5,Wheat Noodles
Ramen,[CYO Ramen Component] Tofu Bowl,Water [Tokyo Ramen Noodle],,,,,,
Ramen,[CYO Ramen Component] Tofu Bowl,"Whole Peeled Onion [Vegetable Scraps For Stock, Gf Vegetable Soy Broth]",1 Oz,no,,,1,Onion
Ramen,[CYO Ramen Component] Tofu Bowl,"Celery Stalk Whole Fresh [Vegetable Scraps For Stock, Gf Vegetable Soy Broth]",1 Oz,no,,,1,Celery
Ramen,[CYO Ramen Component] Tofu Bowl,"Sliced Mushroom [Vegetable Scraps For Stock, Gf Vegetable Soy Broth]",1 Oz,no,,,1,Mushroom
Ramen,[CYO Ramen Component] Tofu Bowl,"Zucchini Squash [Vegetable Scraps For Stock, Gf Vegetable Soy Broth]",1 Oz,no,,,1,Squash
Ramen,[CYO Ramen Component] Tofu Bowl,"Eggplant [Vegetable Scraps For Stock, Gf Vegetable Soy Broth]",1 Oz,no,,,1,Eggplant
Ramen,[CYO Ramen Component] Tofu Bowl,"Cauliflower [Vegetable Scraps For Stock, Gf Vegetable Soy Broth]",1 Oz,no,,,1,Cauliflower
Ramen,[CYO Ramen Component] Tofu Bowl,"Whole Fresh Tomato [Vegetable Scraps For Stock, Gf Vegetable Soy Broth]",1 Oz,no,,,1,Tomato
Ramen,[CYO Ramen Component] Tofu Bowl,"Fennel Bulb [Vegetable Scraps For Stock, Gf Vegetable Soy Broth]",1 Oz,no,,,1,Fennel
Ramen,[CYO Ramen Component] Tofu Bowl,"Broccoli Crown Whole Icelss [Vegetable Scraps For Stock, Gf Vegetable Soy Broth]",1 Oz,no,,,1,Broccoli
Ramen,[CYO Ramen Component] Tofu Bowl,Fresh Peeled Garlic Cloves [Gf Vegetable Soy Broth],5/8 Teaspoon,yes,USDA Nutrient Database for Standard Reference,Chopped Garlic,0.11,Onion
Ramen,[CYO Ramen Component] Tofu Bowl,Ginger Root [Gf Vegetable Soy Broth],,,,,,
Ramen,[CYO Ramen Component] Tofu Bowl,Star Anise [Gf Vegetable Soy Broth],,,,,,
Ramen,[CYO Ramen Component] Tofu Bowl,Water [Gf Vegetable Soy Broth],,,,,,
Ramen,[CYO Ramen Component] Tofu Bowl,Gluten Free Tamari Soy Sauce [Gf Vegetable Soy Broth],,,,,,
Ramen,[CYO Ramen Component] Tofu Bowl,Granulated Sugar [Gf Vegetable Soy Broth],,,,,,
Ramen,[CYO Ramen Component] Tofu Bowl,Tofu Silken,2 Oz,no,,,2,Tofu
Ramen,[CYO Ramen Component] Tofu Bowl,Green Onion,1 Tablespoon,yes,USDA Nutrient Database for Standard Reference,"Onions, spring or scallions (includes tops and buulb), raw (chopped)",0.22,Onion
Ramen,[CYO Ramen Component] Tofu Bowl,Frozen Kernel Corn,1 Tablespoon,yes,USDA Nutrient Database for Standard Reference,"Corn, sweet, white, frozen, kernels cut off cob, unprepared",0.364,Sweet Corn
Ramen,[CYO Ramen Component] Tofu Bowl,Napa Cabbage [Cabbage Sesame Salad],2 Tablespoon + 2 1/2 Teaspoon,yes,USDA Nutrient Database for Standard Reference,Original Napa Cabbage,2.028,Cabbage
Ramen,[CYO Ramen Component] Tofu Bowl,Fresh Red Cabbage [Cabbage Sesame Salad],1 1/2 Teaspoon,yes,USDA Nutrient Database for Standard Reference,Red cabbage,0.143,Cabbage
Ramen,[CYO Ramen Component] Tofu Bowl,Carrot Shredded [Cabbage Sesame Salad],5/8 Teaspoon,yes,USDA Nutrient Database for Standard Reference,Shredded Carrots,0.02,Carrot
Ramen,[CYO Ramen Component] Tofu Bowl,"Gluten Free Tamar Soy Sauce [Dressing Asian Sesame Gf, Cabbage Sesame Salad]",,,,,,
Ramen,[CYO Ramen Component] Tofu Bowl,"Seasoned Rice Vinegar [Dressing Asian Sesame Gf, Cabbage Sesame Salad]",,,,,,
Ramen,[CYO Ramen Component] Tofu Bowl,"Fresh Peeled Garlic Cloves [Dressing Asian Sesame Gf, Cabbage Sesame Salad]",,,,,,
Ramen,[CYO Ramen Component] Tofu Bowl,"Honey [Dressing Asian Sesame Gf, Cabbage Sesame Salad]",,,,,,
Ramen,[CYO Ramen Component] Tofu Bowl,"Dijon Mustard [Dressing Asian Sesame Gf, Cabbage Sesame Salad]",,,,,,
Ramen,[CYO Ramen Component] Tofu Bowl,"Ginger Root [Dressing Asian Sesame Gf, Cabbage Sesame Salad]",,,,,,
Ramen,[CYO Ramen Component] Tofu Bowl,"Sesame Oil [Dressing Asian Sesame Gf, Cabbage Sesame Salad]",1/2 Teaspoon,yes,USDA Nutrient Database for Standard Reference,Pure Sesame Oil,0.082,Rapeseed Oil
Ramen,[CYO Ramen Component] Tofu Bowl,"Canola Oil [Dressing Asian Sesame Gf, Cabbage Sesame Salad]",2 7/8 Teaspoon,yes,USDA Nutrient Database for Standard Reference,Canola and Soybean Oil,0.461,Sunflower Oil (CAN)
Ramen,[CYO Ramen Component] Tofu Bowl,Egg Whole Fresh Medium Flat [Egg Sous Vide],1 Egg,yes,USDA Nutrient Database for Standard Reference,Medium (M) Egg,1.764,Eggs
Ramen,[CYO Ramen Component] Tofu Bowl,Water [Egg Sous Vide],,,,,,
Ramen,[CYO Ramen Component] Tofu Bowl,Nori Seaweed Sheet,,,,,,
Pasta,[CYO Pasta Component] Alfredo Sauce,"Salted Butter [Alfredo Sauce, Trillium Pasta Station Sauce Options]",1 Teaspoon,yes,USDA Nutrient Database for Standard Reference,"Butter, salted",0.167,Butter
Pasta,[CYO Pasta Component] Alfredo Sauce,"Fresh Peeled Garlic Cloves [Alfredo Sauce, Trillium Pasta Station Sauce Options]",1/8 Teaspoon,yes,USDA Nutrient Database for Standard Reference,Chopped Garlic,0.022,Onion
Pasta,[CYO Pasta Component] Alfredo Sauce,"All Purpose Flour [Alfredo Sauce, Trillium Pasta Station Sauce Options]",1 3/4 Teaspoon,yes,USDA Nutrient Database for Standard Reference,All-Purpose Flour,0.154,Wheat Flour
Pasta,[CYO Pasta Component] Alfredo Sauce,"Cornell 2% Milk [Alfredo Sauce, Trillium Pasta Station Sauce Options]",3 Tablespoon + 2 1/2 Teaspoon,yes,USDA Nutrient Database for Standard Reference,"Milk, Reduced Fat (2%)",2.062,2% Milk
Pasta,[CYO Pasta Component] Alfredo Sauce,"Heavy Cream [Alfredo Sauce, Trillium Pasta Station Sauce Options]",1 Tablespoon + 3/4 Teaspoon,yes,USDA Nutrient Database for Standard Reference,"Cream, heavy, fluid",0.656,Cream (Heavy)
Pasta,[CYO Pasta Component] Alfredo Sauce,"Grated Parmesan Cheese [Alfredo Sauce, Trillium Pasta Station Sauce Options]",1 Tablespoon + 2 1/4 Teaspoon,yes,USDA Nutrient Database for Standard Reference,"Cheese, parmesan, grated",0.386,Parmesan
Pasta,[CYO Pasta Component] Alfredo Sauce,"Kosher Salt [Alfredo Sauce, Trillium Pasta Station Sauce Options]",,,,,,
Pasta,[CYO Pasta Component] Alfredo Sauce,"Black Pepper [Alfredo Sauce, Trillium Pasta Station Sauce Options]",,,,,,
Pasta,[CYO Pasta Component] Alfredo Sauce,"Fresh Flat Leaf Parsley [Alfredo Sauce, Trillium Pasta Station Sauce Options]",1/4 Teaspoon,yes,USDA Nutrient Database for Standard Reference,"Parsley, fresh",0.011,Fennel
Pasta,[CYO Pasta Component] Creamy Spinach Alfredo Sauce,"Salted Butter [Alfredo Sauce, Creamy Spinach Alfredo Sauce, Trillium Pasta Station LTO Sauce Options]",1 Teaspoon,yes,USDA Nutrient Database for Standard Reference,"Butter, salted",0.167,Butter
Pasta,[CYO Pasta Component] Creamy Spinach Alfredo Sauce,"Fresh Peeled Garlic Cloves [Alfredo Sauce, Creamy Spinach Alfredo Sauce, Trillium Pasta Station LTO Sauce Options]",1/8 Teaspoon,yes,USDA Nutrient Database for Standard Reference,Chopped Garlic,0.022,Onion
Pasta,[CYO Pasta Component] Creamy Spinach Alfredo Sauce,"All Purpose Flour [Alfredo Sauce, Creamy Spinach Alfredo Sauce, Trillium Pasta Station LTO Sauce Options]",1 3/4 Teaspoon,yes,USDA Nutrient Database for Standard Reference,All-Purpose Flour,0.154,Wheat Flour
Pasta,[CYO Pasta Component] Creamy Spinach Alfredo Sauce,"Cornell 2% Milk [Alfredo Sauce, Creamy Spinach Alfredo Sauce, Trillium Pasta Station LTO Sauce Options]",3 Tablespoon + 2 1/2 Teaspoon,yes,USDA Nutrient Database for Standard Reference,"Milk, Reduced Fat (2%)",2.062,2% Milk
Pasta,[CYO Pasta Component] Creamy Spinach Alfredo Sauce,"Heavy Cream [Alfredo Sauce, Creamy Spinach Alfredo Sauce, Trillium Pasta Station LTO Sauce Options]",1 Tablespoon + 3/4 Teaspoon,yes,USDA Nutrient Database for Standard Reference,"Cream, heavy, fluid",0.656,Cream (Heavy)
Pasta,[CYO Pasta Component] Creamy Spinach Alfredo Sauce,"Grated Parmesan Cheese [Alfredo Sauce, Creamy Spinach Alfredo Sauce, Trillium Pasta Station LTO Sauce Options]",1 Tablespoon + 2 1/4 Teaspoon,yes,USDA Nutrient Database for Standard Reference,"Cheese, parmesan, grated",0.386,Parmesan
Pasta,[CYO Pasta Component] Creamy Spinach Alfredo Sauce,"Kosher Salt [Alfredo Sauce, Creamy Spinach Alfredo Sauce, Trillium Pasta Station LTO Sauce Options]",,,,,,
Pasta,[CYO Pasta Component] Creamy Spinach Alfredo Sauce,"Black Pepper [Alfredo Sauce, Creamy Spinach Alfredo Sauce, Trillium Pasta Station LTO Sauce Options]",,,,,,
Pasta,[CYO Pasta Component] Creamy Spinach Alfredo Sauce,"Fresh Flat Leaf Parlsey [Alfredo Sauce, Creamy Spinach Alfredo Sauce, Trillium Pasta Station LTO Sauce Options]",1/4 Teaspoon,yes,USDA Nutrient Database for Standard Reference,"Parsley, fresh",0.011,Fennel
Pasta,[CYO Pasta Component] Creamy Spinach Alfredo Sauce,"Canola Oil [Sauteed Spinach, Creamy Spinach Alfredo Sauce, Trillium Pasta Station LTO Sauce Options]",,,,,,
Pasta,[CYO Pasta Component] Creamy Spinach Alfredo Sauce,"Spinach [Sauteed Spinach, Creamy Spinach Alfredo Sauce, Trillium Pasta Station LTO Sauce Options]",1 3/4 Teaspoon,yes,USDA Nutrient Database for Standard Reference,"Spinach, raw",0.039,Lettuce
